,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
918,2672,004224,004224,南方军工改革灵活配置混合,南方基金管理股份有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-08,
919,2680,004244,,东方周期优选灵活配置混合,东方基金管理股份有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-15,
920,2685,004250,,银河量化优选混合,银河基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-04-27,
921,2690,004263,,华安沪港深机会,华安基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-10,
922,2693,004266,004266,招商沪港深科技创新混合,招商基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-04-26,
923,2708,004292,,鹏华沪深港互联网股票,鹏华基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-04-06,
924,2719,004314,004314,前海开源沪港深新硬件,前海开源基金管理有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-13,
925,2720,004316,004316,前海开源沪港深裕鑫,前海开源基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-23,
926,2722,004320,,前海开源沪港深乐享生活,前海开源基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-12,
927,2723,004321,,前海开源沪港深强国产业,前海开源基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-01,
928,2729,004332,,恒生前海沪港深新兴产业,恒生前海基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-04-01,
929,2736,004341,,农银尖端科技,农银汇理基金管理有限公司,中信银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-29,
930,2741,004351,,汇丰晋信珠三角区域发展,汇丰晋信基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-06-02,
931,2742,004352,,北信瑞丰研究精选,北信瑞丰基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-06-28,
932,2745,004355,,嘉实丰和灵活配置混合,嘉实基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-20,
933,2746,004357,,南方智慧混合,南方基金管理股份有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-27,
934,2748,004359,004359,创金合信量化核心混合,创金合信基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-27,
935,2754,004374,004374,华泰保兴吉年丰,华泰保兴基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-24,
936,2764,004393,,安信合作创新混合,安信基金管理有限责任公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-29,
937,2765,004394,,华泰柏瑞量化创优,华泰柏瑞基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-12,
938,2771,004403,004403,平安股息精选沪港深股票,平安基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-05-17,
939,2783,004423,,华商研究精选,华商基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-24,
940,2788,004434,004434,博时逆向投资混合,博时基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-04-14,
941,2796,004448,,博时汇智回报混合,博时基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-04-12,
942,2798,004450,,嘉实前沿科技沪港深股票,嘉实基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-05-19,
